category,subcategory,date,location,payee,description,method,amount
Other Spending,,4/5/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Shopping,,4/5/04,,,Ucriverside Riverside Ca,,1600
Groceries,,4/6/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,1175
Other Spending,,4/6/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Cash/ATM,,4/7/04,,,ATM Withdrawal - 04/07 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Food/Drink,,4/7/04,,,Rubio'S Riverside #66 Riverside Ca,,589
Mortgage / Rent,,4/7/04,,,Rent Check #311,,92500
Other Spending,,4/7/04,,,La Times Sub*155794110 800-528-4637 Ca,,2750
Entertainment,,4/8/04,,,Tremors Riverside Ca,,1000
Other Spending,,4/8/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Other Spending,,4/9/04,,,Overdraft Fee,,3300
Other Spending,,4/12/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,,100
Other Spending,,4/12/04,,,Monthly Service Fee,,375
Other Spending,,4/12/04,,,Continuous Od Level 2 Charge,,500
Other Spending,,4/12/04,,,Overdraft Fee,,3300
Other Spending,,4/13/04,,,Continuous Od Level 2 Charge,,500
Other Spending,,4/13/04,,,Overdraft Fee,,3300
Other Spending,,4/14/04,,,Continuous Od Level 2 Charge,,500
Other Spending,,4/15/04,,,Continuous Od Level 2 Charge,,500
Food/Drink,,4/16/04,,,Rising Savor Riverside Ca,,379
Cash/ATM,,4/17/04,,,ATM Withdrawal - 04/17 0887K Riverside Riverside Ca 3319,,2000
Food/Drink,,4/17/04,,,Cabin Sushi Restaurant 909-786-7702 Ca,,2538
Cash/ATM,,4/18/04,,,ATM Withdrawal - 04/18 0887K Riverside Riverside Ca 3319,,2000
Auto/Transportation,,4/22/04,,,Chevron #00207698 Orange Ca,,2583
Cash/ATM,,4/22/04,,,ATM Withdrawal - 04/22 0887K Riverside Riverside Ca 3319,,2000
Credit Card/Loan Payments,,4/23/04,,,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 04-23,,10000
Food/Drink,,4/23/04,,,Get A Way Cafe Riverside Ca,,725
Food/Drink,,4/23/04,,,Get A Way Cafe Riverside Ca,,1151
,,4/23/04,,,Jitb #3581 00035816 Riverside Ca,,344
Cash/ATM,,4/24/04,,,ATM Withdrawal - 04/24 0887K Riverside Riverside Ca 3319,,2000
Cash/ATM,,4/25/04,,,ATM Withdrawal - 04/25 0887K Riverside Riverside Ca 3319,,2000
Food/Drink,,4/25/04,,,Pizza N Such Clairemont Ca,,3350
Bills/Utilities,,4/27/04,,,Bill Pay Charter Communic On-Line 04512201249060 On 04-27,,5000
Bills/Utilities,,4/27/04,,,Bill Pay Riverside Utilit On-Line 278678132713 On 04-27,,5000
Food/Drink,,4/27/04,,,Rubio'S Riverside #66 Riverside Ca,,570
Groceries,,4/27/04,,,Stater Bros #114 Swv Riverside Ca,,3906
Auto/Transportation,,4/29/04,,,Shell Oil 20465520656 Riverside Ca,,3008
Food/Drink,,4/30/04,,,Papa John 2356 Riverside Ca,,969
Health,,4/30/04,,,Rite Aid Store 5681 Palm Desert Ca,,329
Shopping,,4/30/04,,,UCR Bookstore Riverside Ca,,354
Groceries,,5/1/04,,,74895 Highway 1Ralphs Indian Wellsca 3319,,4278
Groceries,,5/2/04,,,49908 Jeffersonralphs Indio Ca 3319,,4671
Other Spending,,5/3/04,,,Bill Pay Service Fee On 05-01,,695
Auto/Transportation,,5/4/04,,,Exxonmobil34 07865660 Riversid Ca,,2838
Bills/Utilities,,5/4/04,,,Charter Comm Chartercom 050304,,5000
Bills/Utilities,,5/4/04,,,Charter Comm Chartercom 050304,,12645
Cash/ATM,,5/7/04,,,ATM Withdrawal - 05/07 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Mortgage / Rent,,5/7/04,,,Rent Check #313,,92500
Health,,5/8/04,,,3849 Chicago Avrite Aid #Riverside Ca 3319,,1165
Other Spending,,5/8/04,,,Video Town & Wireless Riverside Ca,,539
Shopping,,5/8/04,,,Music Mikes Riverside Ca,,1541
Auto/Transportation,,5/10/04,,,Union 76 00408930 Riverside Ca,,2987
Cash/ATM,,5/10/04,,,ATM Withdrawal - 05/10 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Other Spending,,5/10/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Other Spending,,5/10/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Food/Drink,,5/11/04,,,Rubio'S Riverside #66 Riverside Ca,,462
Other Spending,,5/12/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee,,100
Other Spending,,5/12/04,,,Monthly Service Fee,,375
Cash/ATM,,5/13/04,,,ATM Withdrawal - 05/13 0887K Riverside Riverside Ca 3319,,8000
Food/Drink,,5/15/04,,,Cask N Cleaver Riverside Ca,,1200
Health,,5/15/04,,,3849 Chicago Avrite Aid #Riverside Ca 3319,,1020
Auto/Transportation,,5/16/04,,,Union 76 00379982 Riverside Ca,,1956
Food/Drink,,5/16/04,,,Papa John 2356 Riverside Ca,,1600
Cash/ATM,,5/17/04,,,ATM Withdrawal - 05/17 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Other Spending,,5/17/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Auto/Transportation,,5/20/04,,,Chevron #00096984 Riverside Ca,,2980
Entertainment,,5/23/04,,,Tremors Riverside Ca,,1275
Groceries,,5/24/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,1581
Bills/Utilities,,5/25/04,,,Bill Pay Wellspring Wirel On-Line 30037360 On 05-25,,4923
Bills/Utilities,,5/25/04,,,Bill Pay Riverside Utilit On-Line 278678132713 On 05-25,,7000
Credit Card/Loan Payments,,5/25/04,,,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 05-25,,6000
Food/Drink,,5/25/04,,,Get A Way Cafe Riverside Ca,,858
Auto/Transportation,,5/27/04,,,Exxonmobil34 01141662 Orange Ca,,2973
Cash/ATM,,5/28/04,,,ATM Withdrawal - 05/28 S1E08530 406 Commons Washingtonriverside Ca 3319,,8000
Food/Drink,,5/28/04,,,Get A Way Cafe Riverside Ca,,1450
Other Spending,,5/28/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Shopping,,5/28/04,,,Pacific Sunwear #0077 Riverside Ca,,5924
Auto/Transportation,,5/29/04,,,Raceway Ford Inc Riverside Ca,,2543
Entertainment,,5/29/04,,,Tremors Riverside Ca,,425
Food/Drink,,5/29/04,,,Rubio'S Riverside #66 Riverside Ca,,719
Groceries,,5/29/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,815
Entertainment,,5/30/04,,,University Village Cin Los Angelas Ca,,525
Groceries,,5/30/04,,,Trade Winds Liqtrade Windnew Port Beacca 3319,,500
Food/Drink,,5/31/04,,,Krispy Kreme Dghnts #9 Riverside Ca,,633
Groceries,,5/31/04,,,2995 Iowa Ave. Stater 114Riverside Ca 3319,,2000
,,5/31/04,,,Jitb #3581 00035816 Riverside Ca,,450
Auto/Transportation,,6/1/04,,,Chevron 00095868 La Mirada Ca,,3006
Cash/ATM,,6/1/04,,,ATM Withdrawal - 06/01 80740094 2001 Riverside Won'S Liqulos Angeles Ca 3319,,2150
Cash/ATM,,6/1/04,,,ATM Withdrawal - 06/01 Scad6808 *U C Riverside B Of A Riverside Ca 3319,,2150
Other Spending,,6/1/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Other Spending,,6/1/04,,,Bill Pay Service Fee On 06-01,,695
Shopping,,6/1/04,,,UCR Bookstore Riverside Ca,,1664
Other Spending,,6/2/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Food/Drink,,6/5/04,,,Rubio'S Riverside #66 Riverside Ca,,613
Auto/Transportation,,6/6/04,,,Union 76 00379982 Riverside Ca,,3141
Food/Drink,,6/6/04,,,Pizza Hut 07053234 Riverside Ca,,1400
Cash/ATM,,6/8/04,,,ATM Withdrawal - 06/08 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Health,,6/8/04,,,Ucr-Campus Health Riverside Ca,,3750
Mortgage / Rent,,6/8/04,,,Rent Check #314,,92500
Personal Care,,6/8/04,,,Supercuts Ca778 Riverside Ca,,1300
Food/Drink,,6/9/04,,,Quizno'S #195 Universi Riverside Ca,,838
Health,,6/9/04,,,Rite Aid #5717 0063062735Riverside Ca 3319,,1037
Other Spending,,6/9/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Food/Drink,,6/10/04,,,Coffee Depot 909-2222263 Ca,,351
Other Spending,,6/10/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee Total Other Withdrawals,,100
Other Spending,,6/10/04,,,Monthly Service Fee,,375
Shopping,,6/10/04,,,Ucr-Print & Reprograph Riverside Ca,,566
Shopping,,6/10/04,,,UCR Bookstore Riverside Ca,,4624
Cash/ATM,,6/11/04,,,ATM Withdrawal - 06/11 S1E08530 406 Commons Washingtonriverside Ca 3319,,2000
Cash/ATM,,6/11/04,,,ATM Withdrawal - 06/11 Scad8216 *Canyon Crest-0B Of A Riverside Ca 3319,,2150
Food/Drink,,6/11/04,,,Rubio'S Riverside #66 Riverside Ca,,570
Food/Drink,,6/11/04,,,Get A Way Cafe Riverside Ca,,1483
Other Spending,,6/11/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Groceries,,6/13/04,,,Stater Bros. #14301347500Riverside Ca 3319,,2892
Other Spending,,6/14/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Food/Drink,,6/15/04,,,Pizza Hut 07050511 909-7648817 Ca,,1465
Shopping,,6/15/04,,,Mad Platter Riverside Ca,,2799
Auto/Transportation,,6/16/04,,,Shell Oil 20465520656 Riverside Ca,,3001
Bills/Utilities,,6/16/04,,,Bill Pay The Gas Company On-Line 09092365197 On 06-16,,1500
Credit Card/Loan Payments,,6/16/04,,,Bill Pay Aspire Card Serv On-Line 4791070400384499 On 06-16,,5000
Food/Drink,,6/17/04,,,Starbucks 00059915 Riverside Ca,,620
Health,,6/17/04,,,Rite Aid #5716 0063062735Riverside Ca 3319,,2376
Other Spending,,6/17/04,,,Sou Usps 0567762390349092Riverside Ca 3319,,395
Shopping,,6/17/04,,,Office Max 00006130 Riverside Ca,,3770
,,6/18/04,,,Johns Place Of Orange Orange Ca,,565
Cash/ATM,,6/19/04,,,ATM Withdrawal - 06/19 4806K 8440 E Chapman Ave Orange Ca 3319,,6000
Food/Drink,,6/19/04,,,Chen'S Panda Orange Ca,,2000
Food/Drink,,6/22/04,,,Pizza Hut 07050511 909-7648817 Ca,,1534
Other Spending,,6/22/04,,,Overdraft Fee,,3300
Food/Drink,,6/23/04,,,Starbucks 00059915 Riverside Ca,,450
Shopping,,6/23/04,,,Staples #144 Riverside Ca,,5381
,,6/24/04,,,Joxer Daly'S Culver City Ca,,2200
Food/Drink,,6/28/04,,,Pizza Hut 2 Chantilly Va,,469
,,6/28/04,,,Hmshost-Iad-Airpt #000 Washington Dc,,3578
Auto/Transportation,,6/29/04,,,Chevron 00210249 Los Angeles Ca,,2726
Food/Drink,,6/29/04,,,Rubio'S Riverside #66 Riverside Ca,,613
Groceries,,6/30/04,,,Stater Bros. #14301347500Riverside Ca 3319,,376
Groceries,,6/30/04,,,Stater Bros. #14301347500Riverside Ca 3319,,2777
Health,,6/30/04,,,Rite Aid #5717 0063062735Riverside Ca 3319,,1292
Food/Drink,,7/1/04,,,Get A Way Cafe Riverside Ca,,975
Other Spending,,7/1/04,,,Bill Pay Service Fee On 07-01,,695
Entertainment,,7/2/04,,,Tremors Riverside Ca,,1800
Food/Drink,,7/2/04,,,Rising Savor Riverside Ca,,440
Auto/Transportation,,7/3/04,,,Union 76 76899020 Los Angeles Ca,,2396
Food/Drink,,7/3/04,,,Subway #24399 Riverside Ca,,639
Food/Drink,,7/4/04,,,Quiznos #3381 San Diego Ca,,645
Food/Drink,,7/4/04,,,Bigberthas/Typhoon/Fre San Diego Ca,,968
Groceries,,7/4/04,,,Vons Store 0029000023San Diego Ca 3319,,3852
Auto/Transportation,,7/5/04,,,Union 76 76887462 San Diego Ca,,2585
Personal Care,,7/6/04,,,Supercuts Ca778 Riverside Ca,,1500
Shopping,,7/6/04,,,Mad Platter 4301322135Riverside Ca 3319,,1292
Food/Drink,,7/7/04,,,Historic Mission Inn Riverside Ca,,1682
Food/Drink,,7/7/04,,,Riverside Brewing Co Riverside Ca,,3183
Health,,7/7/04,,,Rite Aid #5715 0063062735Riverside Ca 3319,,1323
Auto/Transportation,,7/8/04,,,Exxonmobil59 02358075 Diamond Ca,,1883
Bills/Utilities,,7/8/04,,,Bill Pay Wellspring Wirel On-Line 30037360 On 07-08,,1649
Bills/Utilities,,7/8/04,,,Bill Pay The Gas Company On-Line 09092365197 On 07-08,,1662
Checks Written,,7/8/04,,,Check #315 Other Withdrawals,,47500
Other Spending,,7/9/04,,,Nsf Return Check Fee,,3000
Health,,7/10/04,,,Rite Aid #5827 0063062737Atascadero Ca 3319,,1608
Bills/Utilities,,7/13/04,,,Bill Pay Riverside Utilit On-Line 278678132713 On 07-13,,6866
Bills/Utilities,,7/13/04,,,Bill Pay Charter Communic On-Line 04512201249060 On 07-13,,8000
Other Spending,,7/13/04,,,Monthly Point-Of-Sale (Pos) Purchase Fee,,100
Other Spending,,7/13/04,,,Monthly Service Fee,,375
Shopping,,7/13/04,,,Radio Shack 7430013028Atascadero Ca 3319,,750
Shopping,,7/13/04,,,Kmart 1260007619Atascadero Ca 3319,,1456
Auto/Transportation,,7/14/04,,,Union 76 46044897 Atasacadero Ca,,2906
Food/Drink,,7/16/04,,,Slo Brewing Co Inc San Luis Obis Ca,,1200
Groceries,,7/16/04,,,Vons Store 0029000023Atascadero Ca 3319,,1337
Shopping,,7/16/04,,,Kmart 1260007619Atascadero Ca 3319,,240
Shopping,,7/17/04,,,Limelight Music-Gifts Atascadero Ca,,1598
Shopping,,7/20/04,,,Central Coast Music Morro Bay Ca,,5363
Auto/Transportation,,7/21/04,,,Chevron 00090150 San Luis Obis Ca,,2423
Cash/ATM,,7/21/04,,,Withdrawal Made In A Branch/Store,,55000
Food/Drink,,7/22/04,,,The Boogie 4131992002Anaheim Ca 3319,,2000
Auto/Transportation,,7/23/04,,,Shell Oil 20417941224 Corona Ca,,2719
Food/Drink,,7/24/04,,,Get A Way Cafe Riverside Ca,,840
Auto/Transportation,,7/25/04,,,Exxonmobil34 07865660 Riversid Ca,,667
,,7/25/04,,,U-Haul 8930081682Riverside Ca 3319,,4312
Auto/Transportation,,7/26/04,,,Arco Paypoint 054081 San Diego Ca 3319,,1055
Auto/Transportation,,7/27/04,,,Trail Town Chevchevron Lordsburg Nm 3319,,84
Auto/Transportation,,7/28/04,,,Tetco Stores Lpchevron San Antonio Tx 3319,,195
Cash/ATM,,7/28/04,,,ATM Withdrawal - 07/28 00004C63 501 Crawford #1501 Crawfohouston Tx 3319,,2250
Food/Drink,,7/28/04,,,Ozona Subway Ozona Tx,,826
,,7/28/04,,,Aramark Minute Maid Pa Houston Tx,,1150
,,7/28/04,,,Sports At The B U S Lt Houston Tx,,1200
,,7/28/04,,,Travelodge Ozona Tx,,5500
Auto/Transportation,,7/29/04,,,Shell Service S0095481958Baytown Tx 3319,,323
Cash/ATM,,7/29/04,,,ATM Withdrawal - 07/29 P28394 500 Bourbon St.Chris Owennew Orleans La 3319,,2300
Other Spending,,7/29/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Cash/ATM,,7/30/04,,,ATM Withdrawal - 07/30 Fc1L7056 Braves Stadium Braves Staatlanta Ga 3319,,4200
Other Spending,,7/30/04,,,Non-Wells Fargo ATM Transaction Fee,,200
Other Spending,,7/30/04,,,Non-Wells Fargo ATM Transaction Fee,,200
,,7/30/04,,,Howl At The Moon New Orleans La,,900
Food/Drink,,7/31/04,,,Ruby Tuesday #2686 College Park Ga,,1811
,,7/31/04,,,Courtyard By Marriott- Atlanta Ga,,8700
